City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,egilsstadir,65.2653,-14.3948,267.1,93,75,1.54,IS,1701641101
312,garissa,-0.4536,39.6401,301.23,56,14,2.72,KE,1701641115
313,yaren,-0.5472,166.916,300.08,82,97,2.25,NR,1701641510
314,flying fish cove,-10.4217,105.6791,297.97,88,75,3.6,CX,1701641117
315,tucacas,10.7906,-68.3258,300.02,81,44,4.77,VE,1701641510
316,bamboo flat,11.7,92.7167,301.2,83,40,2.57,IN,1701641061
317,ciudad bolivar,8.1222,-63.5497,304.26,47,87,3.98,VE,1701641511
318,terrace,54.5163,-128.6035,275.1,100,100,2.06,CA,1701641511
319,as sulayyil,20.4607,45.5779,290.29,42,18,4.35,SA,1701641511
320,bijrauni,24.9167,77.6333,289.65,84,85,3.5,IN,1701641511
321,karasburg,-28.0167,18.75,295.7,19,46,4.33,NA,1701641512
322,san patricio,28.017,-97.5169,295.2,31,100,2.72,US,1701641092
323,sainyabuli,19.25,101.75,291.57,99,100,0.45,LA,1701641513
324,chernyshevskiy,63.0128,112.4714,231.5,100,73,1.26,RU,1701641078
325,villa gesell,-37.2639,-56.973,290.96,59,8,8.75,AR,1701641112
326,urbana,40.1106,-88.2073,278.03,89,75,3.13,US,1701641513
327,klaksvik,62.2266,-6.589,272.66,68,22,4.23,FO,1701641513
328,dailekh,28.8333,81.6667,287.75,38,100,2.01,NP,1701641513
329,busayra,30.7376,35.6078,287.92,51,99,4.32,JO,1701641514
330,cozumel,20.5083,-86.9458,303.19,87,75,3.6,MX,1701641416
331,baiao,-2.7906,-49.6717,301.35,62,94,0.94,BR,1701641514
332,gaborone,-24.6545,25.9086,299.1,27,0,4.63,BW,1701641514
333,kaitong,44.8135,123.15,265.7,85,16,3.4,CN,1701641514
334,caleta de carquin,-11.0925,-77.6267,294.84,76,76,5.41,PE,1701641514
335,ghat,24.9647,10.1728,290.75,14,0,1.99,LY,1701641134
336,batticaloa,7.7102,81.6924,298.46,88,32,2.44,LK,1701641515
337,lerwick,60.1545,-1.1494,277.15,66,7,2.71,GB,1701641144
338,isangel,-19.55,169.2667,303.21,62,75,2.06,VU,1701641087
339,saint-gely-du-fesc,43.6927,3.8049,275.19,62,0,2.06,FR,1701641515
340,karpinsk,59.7654,60.0085,249.68,100,98,0.38,RU,1701641515
341,oyama,36.3,139.8,281.81,54,0,1.11,JP,1701641516
342,karaj,35.8355,51.0103,279.44,21,0,0.42,IR,1701641516
343,kyren,51.6828,102.1408,264.79,83,99,0.89,RU,1701641517
344,codrington,-38.2667,141.9667,293.67,51,83,4.39,AU,1701641130
345,kapa'a,22.0752,-159.319,300.33,82,0,4.12,US,1701641148
346,masbate,12.3667,123.6167,298.6,90,83,4.09,PH,1701641517
347,sambava,-14.2667,50.1667,297.53,84,56,6.09,MG,1701641517
348,nar'yan-mar,67.6713,53.087,257.1,95,100,4.47,RU,1701641103
349,tidjikja,18.5564,-11.4271,298.29,27,4,4.81,MR,1701641518
350,selfoss,63.9331,-20.9971,272.62,60,100,3.76,IS,1701641146
351,gadzhiyevo,69.2551,33.3362,269.02,96,100,1.21,RU,1701641117
352,luau,-10.7073,22.2247,291.54,98,99,2.1,AO,1701641149
353,kamphaeng phet,16.25,99.5,295.77,84,100,1.47,TH,1701641518
354,zouerate,22.7187,-12.4521,294.97,40,10,2.84,MR,1701641141
355,eirunepe,-6.6603,-69.8736,300.23,86,91,1.41,BR,1701641519
356,staryye ozinki,51.1786,49.6769,274.79,93,100,8.96,RU,1701641519
357,envira,-7.3,-70.2167,300.45,82,86,1.42,BR,1701641519
358,tralee,52.2704,-9.7026,276.17,94,99,4.27,IE,1701641519
359,quartu sant'elena,39.2419,9.1839,282.61,67,0,3.09,IT,1701641519
360,gisborne,-38.6533,178.0042,292.56,79,73,4.23,NZ,1701641520
